team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,icetime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2024,VGK,VGK,Team Level,other,82,0.55,0.45,0.46,8358,110.32,34.22,7.59,17.62,3.65,58.8,32.11,31.65,34.22,31.65,104,50,53,207,36,11,1,15,0,60,32,68,118,1,2,97,22,12,33,64,37,53,2.67,4.9,26.64,4,7,25,207,154,154,16,2.27,3,3,33.49,33.49,31.35,130.52,27.88,9.78,23.12,4.48,75.3,37.44,24.38,27.88,24.38,106,72,75,253,18,12,2,22,4,78,44,88,160,2,4,96,22,14,29,90,46,42,3.61,5.49,18.77,4,4,10,253,178,178,11,2.97,4.64,4.64,26.21,26.21,23.7
VGK,2024,VGK,VGK,Team Level,all,82,0.54,0.51,0.52,298066,2662.75,275.76,177.08,637.44,88.61,1423.85,1036.26,259.83,278.14,262.14,2480,1159,1324,4963,274,274,32,543,8,1192,1348,2206,3365,189,431,2332,1488,401,1304,2625,676,338,77.74,83.76,114.25,93,97,84,5025.8,3639,3678.18,599,38.98,58.29,58.31,256.44,258.63,249.08,2467.91,232.08,162.86,606.62,83.86,1341.14,967.43,219.34,231.82,219.09,2141,1253,1395,4789,214,267,36,454,6,1183,1270,1927,3180,207,463,2294,1918,386,1265,2534,598,262,72.61,74.27,85.21,80,69,65,4758.7,3394,3382.52,590,35.82,56.59,56.83,211.07,210.81,204.32
VGK,2024,VGK,VGK,Team Level,5on5,82,0.53,0.51,0.52,256620,2215.6,191.44,141.23,553.25,73.89,1184.72,891.47,183.89,193.82,186.19,2037,999,1158,4194,184,234,28,468,8,986,1156,1853,2852,176,399,1930,1419,362,1192,2280,547,209,67.25,67.71,56.48,82,74,28,4256.8,3036,3075.18,560,29.39,48.24,48.27,172.56,174.76,171.73,2054.39,172.33,129.9,524.25,70.03,1106.75,824.74,164.79,172.07,164.53,1780,1048,1172,4000,155,221,27,395,2,959,1096,1625,2673,196,439,1901,1844,339,1163,2167,477,184,60.97,59.93,51.43,70,50,35,3969.7,2828,2816.52,551,26.94,43.09,43.28,155.99,155.73,152.89
VGK,2024,VGK,VGK,Team Level,4on5,82,0.16,0.13,0.15,15866,45.19,5.16,2.84,7.2,1.58,14.56,28.66,5.05,5.16,5.05,48,12,9,69,6,1,0,5,0,8,40,42,54,4,12,125,37,21,27,37,16,7,1.17,1.98,2,3,3,0,69,60,60,20,0.65,0.3,0.3,5.51,5.51,5.45,242.72,27.89,21.31,53.29,8.07,146.73,77.71,26.27,27.89,26.27,217,118,135,470,38,30,6,33,0,138,96,179,297,4,10,152,11,17,41,242,61,32,6.97,7.08,13.84,5,14,19,470,335,335,1,5.49,7.75,7.81,25.57,25.57,24.45
VGK,2024,VGK,VGK,Team Level,5on4,82,0.92,0.88,0.88,17222,291.62,44.94,25.41,59.37,9.48,165.77,84.03,39.25,44.94,39.25,291,98,104,493,48,28,3,55,0,138,120,243,341,8,18,180,10,6,52,244,76,69,6.65,9.17,29.12,4,13,31,493,389,389,3,6.67,6.74,6.74,44.87,44.87,40.56,40.27,3.98,1.88,5.97,1.27,12.36,27.54,3.9,3.98,3.9,38,15,13,66,3,4,1,4,0,8,34,35,50,5,10,145,41,16,32,35,14,4,1.06,1.77,1.16,1,1,1,66,53,53,27,0.43,1.11,1.11,3.3,3.3,3.28
TOR,2024,TOR,TOR,Team Level,other,82,0.52,0.47,0.49,12121,171.69,47.24,11.66,29.11,5.9,86.16,55.93,43.71,47.24,43.71,160,76,68,304,43,20,2,22,0,78,73,117,193,2,6,138,16,17,42,109,52,75,4.53,6.59,36.13,9,6,28,304,236,236,22,3.34,6.65,6.65,43.94,43.94,41.73,176.72,44.31,13.11,30.99,5.92,98.01,51.65,39.38,44.31,39.38,157,87,95,339,40,15,1,28,0,95,66,117,204,5,18,133,20,16,39,129,54,61,5.22,6.68,32.42,7,8,25,339,244,244,13,3.73,4.91,4.91,43.14,43.14,39.84
TOR,2024,TOR,TOR,Team Level,all,82,0.49,0.47,0.48,297635,2498.87,261.11,168.13,595.97,83.33,1342.19,967.26,247.42,262.62,248.87,2298,1120,1240,4658,267,243,28,464,5,1030,1409,2031,3151,276,618,2433,1962,378,1234,2487,626,305,71.21,78.74,111.16,88,95,84,4684.16,3418,3438.69,610,37.59,52.05,52.33,246.37,247.55,239.5,2672.42,266.66,177.42,657.52,90.63,1461.9,1048.86,251.32,266.57,251.24,2406,1297,1496,5199,229,291,27,516,2,1219,1446,2177,3474,260,603,2094,1711,381,1189,2765,634,304,76.34,79.56,110.77,84,76,69,5172.54,3703,3699.71,536,39.43,58.63,58.81,247.28,247.26,239.04
TOR,2024,TOR,TOR,Team Level,5on5,82,0.5,0.47,0.48,243777,1950.1,160.95,124.63,489.65,64.83,1053.15,776.8,155.15,162.45,156.61,1792,878,1023,3693,169,178,15,372,5,791,1155,1623,2501,258,577,1887,1883,328,1088,2039,475,156,56.74,60.07,44.13,67,79,23,3719.16,2670,2690.69,540,25.83,34.82,35.63,151.16,152.33,150.01,2066.84,162.14,129.81,536.76,70.5,1134.44,843.34,156.42,162.05,156.33,1845,1032,1226,4103,136,225,21,406,2,908,1200,1709,2741,230,532,1612,1631,324,1048,2265,449,163,59.95,56.46,45.73,68,49,19,4076.54,2877,2873.71,495,26.84,39.86,40.34,148.65,148.63,146.55
TOR,2024,TOR,TOR,Team Level,4on5,82,0.08,0.11,0.13,21651,53.94,4.32,2.56,8.09,1.68,17.46,38.89,4.26,4.32,4.26,58,15,6,79,5,0,0,7,0,11,50,53,68,7,17,200,45,22,39,55,14,4,1.45,1.83,1.04,4,0,1,79,73,73,37,0.6,0,0,4.92,4.92,4.84,357.96,52.57,30.6,78.17,11.76,206.47,106.42,48.22,52.57,48.22,324,162,172,658,48,42,5,76,0,198,122,276,438,19,41,198,18,17,79,307,111,68,9.44,13.56,29.57,9,15,24,658,486,486,7,7.97,11.66,11.36,49.18,49.18,46.38
TOR,2024,TOR,TOR,Team Level,5on4,82,0.86,0.85,0.82,20086,323.14,48.6,29.28,69.12,10.93,185.43,95.64,44.29,48.6,44.29,288,151,143,582,50,45,11,63,0,150,131,238,389,9,18,208,18,11,65,284,85,70,8.48,10.25,29.87,8,10,32,582,439,439,11,7.82,10.58,10.05,46.37,46.37,42.91,70.9,7.64,3.89,11.6,2.46,22.96,47.45,7.3,7.64,7.3,80,16,3,99,5,9,0,6,0,18,58,75,91,6,12,151,42,24,23,64,20,12,1.73,2.87,3.04,0,4,1,99,96,96,21,0.88,2.21,2.21,6.32,6.32,6.26
MIN,2024,MIN,MIN,Team Level,other,82,0.5,0.43,0.44,9951,127.71,36.65,8.62,20.26,4.2,66.19,40.08,31.99,36.65,31.99,121,55,54,230,42,10,2,9,0,61,54,79,134,4,8,113,14,12,31,81,34,61,3.26,4.41,28.98,4,8,30,230,176,176,11,2.63,4.08,4.08,35.21,35.21,32.24,165.64,36.14,11.89,29.15,5.43,91.92,52.47,31.92,36.14,31.92,161,66,77,304,32,18,2,17,0,79,81,129,195,7,16,117,24,12,26,108,60,59,4.49,7.7,23.95,7,7,18,304,227,227,12,3.44,5.91,5.91,33.67,33.67,30.74
MIN,2024,MIN,MIN,Team Level,all,82,0.5,0.48,0.48,298584,2433.85,237.43,162.04,581.56,81.93,1334.81,975.24,223.81,238.41,224.71,2264,1109,1275,4648,225,248,24,408,8,1063,1421,2039,3148,252,588,2081,1645,407,1224,2529,589,255,69.33,73.38,94.73,81,73,71,4657.7,3373,3383.53,581,35.94,53.99,53.99,219.39,219.97,213.35,2631.92,238.14,173.61,642.94,88.61,1465.49,1038.26,226.23,239.4,227.44,2428,1220,1455,5103,236,231,31,505,6,1127,1543,2192,3412,250,580,2375,1604,349,1229,2777,616,255,77.09,75.43,85.62,82,82,72,5118.85,3648,3660.37,542,38.38,49.87,49.92,226.54,227.52,220.49
MIN,2024,MIN,MIN,Team Level,5on5,82,0.49,0.48,0.48,249544,1947.78,153.2,123.03,486.9,65.91,1069.58,808.39,147.35,154.18,148.24,1792,915,1081,3788,141,191,16,351,6,842,1176,1651,2566,232,544,1672,1578,355,1104,2105,471,131,57.36,57.96,37.86,69,54,18,3797.7,2707,2717.53,540,25.46,38.48,38.93,139.74,140.33,138.33,2092.87,158.24,131.61,534.71,70.39,1160.08,848.02,152.59,159.5,153.79,1897,1007,1242,4146,148,178,22,424,5,883,1266,1749,2756,220,518,1877,1515,297,1114,2300,457,147,61.78,55.92,40.53,63,58,27,4161.85,2904,2916.37,503,27.11,34.94,35.06,150.23,151.21,148.69
MIN,2024,MIN,MIN,Team Level,4on5,82,0.08,0.09,0.11,18853,41.14,3.37,1.82,6.8,1.25,12.31,28.45,3.26,3.37,3.26,45,9,6,60,3,2,0,3,0,7,39,42,51,9,22,141,34,14,27,46,4,4,1.24,0.7,1.43,1,0,2,60,54,54,20,0.43,0.67,0.67,3.13,3.13,3.1,321.72,40.06,27.67,71.13,11.11,196.51,99.51,38.15,40.06,38.15,313,133,127,573,52,35,7,61,1,154,143,261,394,15,30,204,13,15,62,310,91,45,9.13,10.77,20.16,11,14,27,573,446,446,5,7.27,9.02,8.96,38.38,38.38,36.94
MIN,2024,MIN,MIN,Team Level,5on4,82,0.92,0.88,0.86,20236,317.21,44.21,28.57,67.6,10.57,186.73,98.32,41.2,44.21,41.2,306,130,134,570,39,45,6,45,2,153,152,267,397,7,14,155,19,26,62,297,80,59,7.46,10.31,26.45,7,11,21,570,436,436,10,7.42,10.77,10.32,41.31,41.31,39.69,51.7,3.69,2.44,7.96,1.68,16.97,38.26,3.57,3.69,3.57,57,14,9,80,4,0,0,3,0,11,53,53,67,8,16,177,52,25,27,59,8,4,1.68,1.02,0.98,1,3,0,80,71,71,22,0.58,0,0,4.26,4.26,4.13
PHI,2024,PHI,PHI,Team Level,other,82,0.5,0.5,0.51,11133,163.9,36.37,11.35,30.03,5.3,84.21,55.75,33.67,36.37,33.67,148,75,86,309,35,16,0,19,1,75,77,113,188,7,14,119,40,20,38,116,54,53,4.27,6.62,25.47,6,7,22,309,223,223,20,3.28,5.62,5.46,34.18,34.18,32.45,155.88,35.93,10.36,27.97,5.25,77.86,56.63,33.71,35.93,33.71,140,74,95,309,43,18,4,16,1,59,77,97,171,11,22,143,32,18,30,98,68,48,3.97,8.16,23.8,9,10,24,309,214,214,12,2.9,7.12,7.2,31.63,31.63,30.82
PHI,2024,PHI,PHI,Team Level,all,82,0.51,0.48,0.5,299715,2437.06,250.11,169,585.09,82.87,1306.71,941.22,237.54,250.61,237.96,2213,1122,1245,4580,232,261,30,454,6,957,1425,1981,3103,253,552,2251,1727,430,1289,2410,631,294,69.98,80.48,99.65,89,81,62,4551.17,3335,3325.15,606,37.22,56.72,56.72,230.6,230.36,225.03,2437.97,237.21,159.51,584.11,81.45,1309.75,981.96,227.53,239.25,229.48,2210,1144,1584,4938,283,230,27,407,9,1036,1389,1927,3071,263,576,2258,1727,428,1244,2480,628,246,72.66,78.02,86.53,113,95,75,5006.33,3354,3395.95,581,34.96,54.73,54.89,217.28,219.32,214.98
PHI,2024,PHI,PHI,Team Level,5on5,82,0.53,0.48,0.5,249076,1973.28,176.71,131.74,495.11,67.19,1053.72,774.53,168.9,177.23,169.32,1788,911,1006,3705,166,216,26,375,4,758,1180,1622,2533,226,495,1833,1619,362,1171,2013,491,195,58.09,63.16,55.47,78,62,26,3676.17,2699,2689.15,559,27.38,45.32,45.48,158.61,158.36,155.88,1954.23,157.56,123.53,490.82,65.33,1060.78,795.98,152.01,159.61,153.96,1765,929,1328,4022,195,174,17,352,8,821,1144,1570,2499,232,511,1758,1620,376,1110,2086,467,141,60.01,58.18,39.37,98,71,26,4090.33,2694,2735.95,538,25.59,35.79,36.15,146.99,149.03,146.63
PHI,2024,PHI,PHI,Team Level,4on5,82,0.13,0.13,0.16,18776,47.81,5.57,2.92,6.83,1.61,16.12,31.94,5.55,5.57,5.55,48,17,13,78,4,3,0,3,0,9,46,44,61,4,11,120,46,29,27,39,20,6,1.2,2.77,1.6,2,2,0,78,65,65,23,0.66,0.28,0.28,5.96,5.96,5.95,259.54,37.3,22.11,55.45,8.47,148.16,79.52,35.5,37.3,35.5,225,126,153,504,36,36,6,31,0,139,109,189,315,15,33,176,24,17,78,227,70,54,6.33,8.73,22.24,4,7,25,504,351,351,9,5.68,11.01,10.71,32.26,32.26,31.15
PHI,2024,PHI,PHI,Team Level,5on4,82,0.83,0.83,0.79,20730,252.08,31.45,22.98,53.11,8.78,152.67,79,29.42,31.45,29.42,229,119,140,488,27,26,4,57,1,115,122,202,321,16,32,179,22,19,53,242,66,40,6.41,7.93,17.11,3,10,14,488,348,348,4,5.91,5.5,5.5,31.86,31.86,30.75,68.33,6.42,3.51,9.88,2.41,22.95,49.83,6.3,6.42,6.3,80,15,8,103,9,2,0,8,0,17,59,71,86,5,10,181,51,17,26,69,23,3,2.34,2.96,1.13,2,7,0,103,95,95,22,0.8,0.82,0.82,6.4,6.4,6.37
BUF,2024,BUF,BUF,Team Level,other,82,0.48,0.5,0.5,14213,183.57,44.11,12.89,33.52,6.05,97.1,54.35,39.79,44.11,39.79,159,89,100,348,33,23,4,29,2,93,68,126,215,10,20,133,41,20,33,130,56,62,5.17,7.11,31.83,7,4,22,348,248,248,14,3.78,7.94,8.44,39.45,39.45,36.58,179.78,47.57,12.42,31.44,6.04,94.25,57.28,42.64,47.57,42.64,159,90,93,342,47,14,3,21,2,94,71,112,202,7,14,200,36,21,34,120,56,73,4.89,6.83,35.85,9,7,31,342,249,249,19,3.67,4.26,4.26,46.99,46.99,43.13
BUF,2024,BUF,BUF,Team Level,all,82,0.48,0.5,0.49,298327,2553.68,255.23,171.83,617.59,85.45,1386.51,993.4,240.3,255.62,240.68,2280,1230,1350,4860,265,255,30,479,9,1067,1435,2015,3245,309,699,2303,1736,382,1197,2622,606,282,76.77,74.78,103.69,115,81,69,4860.45,3510,3511.64,574,38.31,57.09,57.09,236.46,236.76,229.89,2617.39,277.47,176.35,627.88,87.5,1413.25,1021.57,262.43,277.38,262.37,2371,1233,1305,4909,287,279,46,472,15,1179,1372,2084,3317,301,678,2512,1798,440,1197,2589,684,331,74.83,86.03,116.62,89,99,99,4899.57,3604,3605.05,559,39.27,59.06,59.76,256.98,257.04,249.24
BUF,2024,BUF,BUF,Team Level,5on5,82,0.47,0.5,0.49,240079,1979.32,159.17,127.96,503.93,66.47,1085.7,796.77,153.43,159.57,153.81,1751,989,1090,3830,185,188,21,388,6,809,1164,1566,2555,273,624,1777,1591,325,1066,2136,452,152,60.76,56.31,42.1,101,62,22,3830.45,2740,2741.64,523,26.46,38.62,38.21,147.43,147.73,145.37,2037.49,176.58,131.4,517,68.44,1100.37,812.2,169.85,176.49,169.78,1822,984,1060,3866,184,229,36,380,9,909,1095,1638,2622,265,603,1903,1679,372,1070,2089,533,184,59.52,67.27,49.79,75,74,35,3856.57,2806,2807.05,500,27.3,45.15,45.51,158.37,158.43,155.91
BUF,2024,BUF,BUF,Team Level,4on5,82,0.11,0.15,0.17,22156,68.19,5.67,3.36,10.87,2.33,21.44,47.33,5.51,5.67,5.51,78,13,13,104,9,5,1,1,1,9,66,69,82,10,23,202,85,17,34,66,20,5,1.96,2.53,1.18,2,6,1,104,91,91,30,0.78,0.86,0.85,5.6,5.6,5.55,329.09,47.19,29.01,68.58,10.73,195.93,102.58,43.96,47.19,43.96,315,139,143,597,51,33,7,65,3,162,140,264,403,22,47,220,21,25,60,308,81,65,8.32,10.04,28.82,4,16,31,597,454,454,12,7.49,9.26,9.61,45.07,45.07,43.72
BUF,2024,BUF,BUF,Team Level,5on4,82,0.88,0.85,0.82,21879,322.6,46.29,27.62,69.27,10.58,182.28,94.96,41.57,46.29,41.57,292,139,147,578,38,39,4,61,0,156,137,254,393,16,32,191,19,20,64,290,78,63,8.87,8.83,28.58,5,9,24,578,431,431,7,7.29,9.66,9.58,43.99,43.99,42.39,71.03,6.13,3.53,10.84,2.29,22.71,49.5,5.99,6.13,5.99,75,20,9,104,5,3,0,6,1,14,66,70,90,7,14,189,62,22,33,72,14,9,2.09,1.88,2.15,1,2,2,104,95,95,28,0.82,0.38,0.38,6.56,6.56,6.48
CGY,2024,CGY,CGY,Team Level,other,82,0.47,0.46,0.45,10335,145.45,36.16,10.08,25.72,4.85,75.07,51.13,33.21,36.16,33.21,128,75,85,288,33,3,0,23,3,72,69,95,170,6,12,119,37,17,36,109,38,56,3.96,4.46,27.74,4,5,24,288,203,203,14,2.88,0.54,0.73,38.31,38.31,35.28,181.19,41.6,12.08,31.77,5.8,91.14,61.62,39.12,41.6,39.12,153,91,90,334,42,17,5,22,1,87,75,111,202,5,10,143,25,18,38,133,50,61,4.91,6.56,30.12,12,5,25,334,244,244,8,3.53,5.74,5.74,39.39,39.39,38.06
CGY,2024,CGY,CGY,Team Level,all,82,0.49,0.51,0.51,300119,2605.3,241.84,168.72,658.06,89.82,1427.64,1033.92,229.87,242.26,230.26,2414,1206,1584,5204,220,231,27,553,11,1130,1475,2194,3400,289,662,2321,1908,435,1285,2788,554,278,75.66,69.35,96.84,89,58,73,5182.75,3620,3617.45,605,37.35,46.37,46.37,232.83,232.97,225.13,2553.2,252.7,168.67,622.66,86.37,1376.37,1004.3,242.11,254.21,243.56,2372,1140,1441,4953,236,241,30,574,13,1094,1354,2136,3276,302,680,2698,1651,443,1349,2586,666,260,74.56,83.62,94.52,78,91,67,4984.56,3512,3531.22,638,37.73,52.95,52.98,237.4,238.53,233.32
CGY,2024,CGY,CGY,Team Level,5on5,82,0.49,0.52,0.51,245585,2093.99,160.1,129.24,553,72.52,1148.93,849.21,154.51,160.52,154.91,1925,988,1299,4212,140,191,21,467,6,893,1216,1785,2773,262,606,1809,1783,380,1139,2308,443,162,60.51,55.49,44.1,70,42,28,4190.74,2913,2910.45,552,26.71,36.65,37.04,149.77,149.92,147.64,1987.93,165.75,124.44,508.86,67.26,1072.21,805.56,160.3,167.26,161.75,1851,894,1184,3929,142,187,21,472,11,839,1094,1709,2603,278,630,2122,1559,372,1197,2102,495,148,59.9,62.54,43.32,58,65,19,3960.56,2745,2764.22,601,25.88,40.05,40.08,151.51,152.64,150.42
