team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,icetime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CGY,2024,CGY,CGY,Team Level,4on5,82,0.09,0.12,0.13,21390,49.72,3.85,2.55,7.42,1.63,16.86,35.69,3.81,3.85,3.81,58,10,18,86,6,1,0,5,0,8,48,52,62,10,20,179,63,18,37,51,17,0,1.56,2.29,0,0,6,0,86,68,68,31,0.57,0.16,0.16,4.27,4.27,4.22,336.79,40.66,29.87,75.42,11.87,198.96,105.22,38.15,40.66,38.15,315,147,160,622,46,35,3,76,1,157,147,269,416,7,14,239,13,22,81,312,103,47,8.57,12.21,19.89,7,17,22,622,462,462,3,7.79,6.79,6.79,41.67,41.67,40.13
CGY,2024,CGY,CGY,Team Level,5on4,82,0.9,0.9,0.88,22809,316.14,41.73,26.85,71.92,10.82,186.78,97.89,38.34,41.73,38.34,303,133,182,618,41,36,6,58,2,157,142,262,395,11,24,214,25,20,73,320,56,60,9.63,7.11,24.99,15,5,21,618,436,436,8,7.18,9.02,8.44,40.48,40.48,37.99,47.29,4.68,2.28,6.61,1.44,14.07,31.9,4.55,4.68,4.55,53,8,7,68,6,2,1,4,0,11,38,47,55,12,26,194,54,31,33,39,18,4,1.18,2.32,1.18,1,4,1,68,61,61,26,0.52,0.38,0.38,4.82,4.82,4.71
SJS,2024,SJS,SJS,Team Level,other,82,0.45,0.52,0.52,10842,164.35,31.41,12.51,31.04,5.66,97.98,49.41,28.85,31.41,28.85,150,78,105,333,29,15,4,22,0,102,60,121,199,6,10,126,19,10,25,131,51,46,4.58,6.14,20.69,4,6,19,333,228,228,11,3.78,4.45,4.5,30.69,30.69,28.67,154.23,38.98,11.24,28.23,5.87,76.81,50.88,36.66,38.98,36.66,144,68,90,302,38,19,3,20,3,74,58,106,174,6,20,143,26,11,32,102,51,59,4.36,6.07,28.55,7,9,22,302,212,212,19,3.23,5.33,5.33,36.89,36.89,35.24
SJS,2024,SJS,SJS,Team Level,all,82,0.43,0.46,0.46,298395,2394.28,222.67,161.8,581.21,80.89,1313.98,931.47,210.57,221.1,209.05,2203,1089,1336,4628,208,238,28,426,6,1107,1307,1995,3084,297,675,2247,1818,365,1226,2473,572,247,69.05,69.62,83.98,87,61,60,4544.88,3292,3254.35,573,36.34,51.67,51.67,207.33,205.85,199.58,2835.7,295.14,196.17,684.45,96.55,1538.66,1100.04,279.09,298.9,282.63,2607,1304,1560,5471,310,344,38,473,11,1278,1495,2297,3601,274,648,2428,1663,391,1254,2849,708,354,83.74,87.42,123.97,126,92,92,5601.19,3911,3978.91,564,43.58,73.8,73.8,264.92,268.16,260.31
SJS,2024,SJS,SJS,Team Level,5on5,82,0.44,0.46,0.46,242625,1861.7,149.52,118.19,473.28,63.26,1010.23,748.5,144.11,147.96,142.6,1724,839,1072,3635,143,189,23,339,5,826,1061,1581,2420,265,615,1749,1731,310,1085,1984,428,151,54.7,52.55,42.27,77,41,25,3551.88,2563,2525.35,517,24.45,38.86,38.82,135.16,133.68,131.5,2216.1,192.65,145.46,558.12,74.75,1208.99,884.04,183.65,196.41,187.19,2030,1034,1284,4348,204,256,26,395,7,990,1212,1826,2860,242,576,1868,1566,344,1106,2327,531,206,67.04,66.7,58.92,106,66,32,4478.19,3064,3131.91,503,30.17,51.9,52.39,170.43,173.67,170.31
SJS,2024,SJS,SJS,Team Level,4on5,82,0.07,0.1,0.12,23667,52.09,4.42,2.69,7.91,1.77,18.34,37.86,4.4,4.42,4.4,60,13,10,83,5,1,0,1,0,14,52,55,68,11,22,161,48,25,35,54,16,3,1.34,1.96,1.12,2,2,1,83,73,73,33,0.62,0.57,0.57,4.47,4.47,4.45,404.69,58.02,36.3,88.68,13.97,233.41,122.61,53.41,58.02,53.41,372,181,173,726,60,66,9,54,0,203,170,312,493,17,34,237,13,14,67,359,112,82,10.59,13.04,34.39,9,13,38,726,553,553,1,9.44,15.77,15.29,52.18,52.18,49.39
SJS,2024,SJS,SJS,Team Level,5on4,82,0.87,0.86,0.84,21261,316.14,37.31,28.41,68.97,10.2,187.42,95.7,33.2,37.31,33.2,269,159,149,577,31,33,1,64,1,165,134,238,397,15,28,211,20,20,81,304,77,47,8.44,8.97,19.9,4,12,15,577,428,428,12,7.49,7.79,7.79,37.01,37.01,34.95,60.67,5.49,3.18,9.4,1.98,19.44,42.52,5.38,5.49,5.38,61,21,13,95,8,3,0,4,1,11,55,53,74,9,18,180,58,22,49,61,14,7,1.76,1.61,2.11,4,4,0,95,82,82,41,0.74,0.8,0.8,5.42,5.42,5.36
CBJ,2024,CBJ,CBJ,Team Level,other,82,0.49,0.48,0.49,9629,147.28,32.53,9.96,28.76,4.99,76.37,47.38,28.76,32.53,28.76,141,59,66,266,22,18,1,26,1,71,62,119,178,6,15,113,20,14,32,111,42,47,4.3,5.37,22.86,4,3,15,266,200,200,14,2.93,5.36,5.36,30.11,30.11,27.33,152.86,33.47,10.72,28.34,5.37,81.48,50.63,29.34,33.47,29.34,148,62,81,291,37,16,6,28,2,73,54,111,173,4,9,144,23,24,34,104,51,55,4.3,6.46,22.7,6,9,22,291,210,210,13,3.18,5.13,5.13,31.52,31.52,28.6
CBJ,2024,CBJ,CBJ,Team Level,all,82,0.48,0.49,0.49,298815,2556.08,245.17,168.54,628.67,87.06,1353.43,1010.15,230.45,245.66,230.96,2382,1111,1376,4869,267,291,31,522,8,1066,1339,2115,3226,268,624,2237,1656,391,1241,2594,603,296,70.64,75.08,99.44,101,103,63,4879.58,3493,3499.46,579,37.09,63.98,63.98,218.27,218.66,211.93,2687.33,266.73,181.82,649.74,90.98,1462.04,1038.69,253.03,267.59,253.81,2453,1237,1473,5163,267,302,35,458,11,1184,1468,2186,3423,230,555,2445,1611,405,1267,2684,701,305,77.59,88.39,100.75,101,94,72,5175.58,3690,3705.14,595,40.28,65.83,65.9,241.12,241.87,234.84
CBJ,2024,CBJ,CBJ,Team Level,5on5,82,0.48,0.49,0.49,251329,2083.84,177.83,131.54,532.13,71.2,1100.13,835.18,168.34,178.31,168.85,1913,935,1162,4010,201,240,27,436,6,856,1109,1712,2647,242,569,1789,1590,347,1122,2162,484,202,57.77,60.29,59.76,86,86,29,4020.58,2848,2854.46,537,27.3,52.84,52.84,152.31,152.7,149.59,2171.3,189.77,140.05,545.43,73.53,1173.51,861.71,181.95,190.64,182.73,1946,1038,1257,4241,179,254,24,377,7,944,1223,1767,2805,212,518,1971,1540,346,1127,2248,540,196,64.28,68.28,57.21,86,67,26,4253.58,2984,2999.14,537,29.02,53.21,53.28,165.52,166.28,163.33
CBJ,2024,CBJ,CBJ,Team Level,4on5,82,0.13,0.14,0.17,20308,63.84,5.64,3.14,9.96,2.23,21.37,45.65,5.53,5.64,5.53,72,16,8,96,9,3,0,7,0,9,60,63,79,4,8,164,29,22,33,67,13,8,1.73,1.67,2.24,2,4,3,96,88,88,26,0.73,0.6,0.6,5.77,5.77,5.69,323.05,39.39,29.09,70.43,10.91,194.77,98.42,37.68,39.39,37.68,314,129,129,572,45,31,5,53,2,158,154,269,398,12,24,193,19,14,63,298,95,50,7.96,11.64,19.79,6,15,24,572,443,443,11,7.62,7.19,7.19,39.82,39.82,38.67
CBJ,2024,CBJ,CBJ,Team Level,5on4,82,0.88,0.89,0.87,17549,261.13,29.16,23.91,57.81,8.64,155.56,81.93,27.81,29.16,27.81,256,101,140,497,35,30,3,53,1,130,108,221,322,16,32,171,17,8,54,254,64,39,6.82,7.74,14.58,9,10,16,497,357,357,2,6.12,5.19,5.19,30.08,30.08,29.32,40.11,4.1,1.96,5.54,1.19,12.28,27.94,4.06,4.1,4.06,45,8,6,59,6,1,0,0,0,9,37,39,47,2,4,137,29,21,43,34,15,4,1.05,2.01,1.05,3,3,0,59,53,53,34,0.45,0.3,0.3,4.25,4.25,4.23
MTL,2024,MTL,MTL,Team Level,other,82,0.44,0.43,0.44,11572,139.04,32.06,9.27,24.26,4.7,73.21,47.51,29.79,32.06,29.79,118,73,61,252,34,8,2,21,3,67,58,84,157,9,23,142,37,25,29,95,50,46,4.14,5.87,22.04,4,8,22,252,191,191,7,2.65,2.21,2.4,32.32,32.32,30.21,178.25,40.09,12.56,32.42,6.07,91.86,56.01,36.43,40.09,36.43,161,78,98,337,33,28,2,23,1,89,65,128,206,5,13,135,36,11,27,120,65,54,4.73,8.29,27.07,4,11,18,337,239,239,10,3.67,9.2,9.03,34.73,34.73,33.16
MTL,2024,MTL,MTL,Team Level,all,82,0.46,0.47,0.47,298913,2355.95,241.22,155.79,561.49,79.78,1270.44,936.28,232.1,240.36,231.23,2095,1150,1327,4572,243,214,29,423,12,1066,1287,1852,3002,311,678,2319,1987,392,1156,2305,690,250,70.66,84.82,85.74,96,76,71,4541.83,3245,3228.09,500,34.41,44.13,44.91,230.72,229.6,223.79,2701.05,284.79,181.17,642.25,90.6,1437.79,1032.39,267.4,287.53,269.99,2383,1286,1568,5237,261,291,31,501,5,1125,1486,2122,3408,290,630,2246,1781,402,1153,2612,726,331,78.14,91.1,115.54,97,100,64,5280.03,3669,3701.1,542,40.41,66.21,66.32,258.89,261.09,253.31
MTL,2024,MTL,MTL,Team Level,5on5,82,0.47,0.48,0.47,241255,1855.15,167.21,117.62,462.78,63.45,1004.38,753.57,161.97,166.33,161.11,1659,910,1127,3696,158,174,20,351,6,822,1058,1501,2411,273,594,1786,1878,322,1028,1877,540,152,57.4,67.05,42.74,81,53,24,3665.83,2569,2552.09,464,24.37,34.31,34.39,157.19,156.06,153.6,2092.02,188.61,132.4,524.13,70.65,1107.97,828.23,181.37,191.37,183.97,1822,1030,1232,4084,182,225,27,401,3,813,1228,1640,2670,259,566,1696,1670,346,1020,2116,530,206,62.95,67.13,58.54,82,73,27,4127.03,2852,2884.1,494,27.44,47.45,48.05,168,170.2,167.54
MTL,2024,MTL,MTL,Team Level,4on5,82,0.1,0.11,0.14,23981,61.75,5.5,2.94,9.34,1.94,19.1,43.19,5.42,5.5,5.42,65,17,12,94,9,2,0,2,0,12,57,56,73,14,31,204,56,24,31,59,17,6,2.03,1.94,1.53,2,4,3,94,82,82,26,0.67,0.26,0.07,6.09,6.09,6.01,377.97,50.72,33.43,77.24,12.1,220.22,112.3,44.31,50.72,44.31,346,160,225,731,42,36,2,74,0,209,145,304,464,15,31,217,16,21,65,325,118,63,9.13,14.01,27.58,9,15,18,731,506,506,6,8.66,9.26,8.92,50.47,50.47,46.98
MTL,2024,MTL,MTL,Team Level,5on4,82,0.87,0.86,0.85,22105,300.01,36.46,25.97,65.11,9.7,173.75,92.01,34.92,36.46,34.92,253,150,127,530,42,30,7,49,3,165,114,211,361,15,30,187,16,21,68,274,83,46,7.09,9.96,19.42,9,11,22,530,403,403,3,6.71,7.35,8.06,35.12,35.12,33.98,52.8,5.36,2.78,8.46,1.78,17.74,35.88,5.3,5.36,5.3,54,18,13,85,4,2,0,3,1,14,48,50,68,11,20,198,59,24,41,51,13,8,1.34,1.67,2.35,2,1,1,85,72,72,32,0.65,0.31,0.31,5.69,5.69,5.64
UTA,2024,UTA,UTA,Team Level,other,82,0.51,0.48,0.48,10258,150.81,38.08,9.56,27.68,5.08,73.15,49.45,36.07,38.08,36.07,128,75,76,279,31,16,3,18,2,70,66,97,172,2,4,141,18,12,28,85,61,57,3.7,7.41,26.97,2,9,20,279,203,203,10,2.79,4.52,4.52,36.35,36.35,35.1,161.5,35.99,10.77,29.23,5.33,82.41,55.27,33.58,35.99,33.58,147,72,83,302,39,10,3,23,2,71,74,108,180,8,18,124,32,10,33,107,64,48,4,8.07,23.92,4,11,24,302,219,219,15,3.1,3.44,3.44,35.64,35.64,33.46
UTA,2024,UTA,UTA,Team Level,all,82,0.52,0.52,0.52,299653,2660.36,272.69,169.96,648.61,89.31,1426.98,1025.51,260.74,273.64,261.69,2342,1292,1448,5082,240,264,27,470,10,1233,1417,2102,3394,301,711,2482,1467,384,1414,2588,747,299,76.53,91.09,105.08,79,87,74,5108.09,3634,3655.43,665,37.44,54.86,54.86,255.2,256.16,250.11,2478.32,250.26,160.44,601.57,83.24,1307.82,967.67,239.85,250.58,240.18,2272,1099,1381,4752,247,226,39,472,7,1140,1279,2025,3124,288,665,2331,1924,406,1249,2427,683,261,71.29,84,94.98,81,80,86,4750.01,3371,3369.72,575,35.77,50.14,50.17,235.85,236.27,230.05
UTA,2024,UTA,UTA,Team Level,5on5,82,0.53,0.53,0.53,243898,2168.61,185.5,133.93,553.07,73.29,1166.17,855.1,177.84,186.45,178.77,1899,1069,1215,4183,158,222,22,397,8,995,1188,1741,2810,265,631,1899,1395,328,1263,2217,568,183,64.87,69.88,50.75,69,64,25,4209.09,2968,2989.43,598,27.78,43.3,43.33,169.89,170.84,167.88,1899.33,162.7,114.83,485.72,64.11,1002.84,761.8,157.6,163.02,157.93,1728,864,1085,3677,151,176,28,374,4,867,1020,1577,2441,259,597,1839,1810,341,1096,1943,492,157,56.54,60.85,45.32,65,54,32,3675.01,2592,2590.72,523,23.85,38.14,38.18,148.37,148.8,146.78
UTA,2024,UTA,UTA,Team Level,4on5,82,0.06,0.08,0.1,23538,39.36,3.11,1.71,6.27,1.38,12.42,27.12,3.03,3.11,3.03,37,15,10,62,2,1,0,1,0,5,43,35,50,14,30,230,35,26,52,38,9,5,0.87,1.05,1.19,1,1,0,62,52,52,42,0.4,0.18,0.18,3.32,3.32,3.23,364.68,47.16,32.54,78.54,12.09,206.05,112.62,44.3,47.16,44.3,336,153,198,687,49,39,7,72,1,188,140,287,440,11,22,186,26,30,83,324,113,52,9.06,13.41,24.69,7,12,30,687,489,489,7,8.3,8.42,8.42,47.03,47.03,45.02
UTA,2024,UTA,UTA,Team Level,5on4,82,0.91,0.87,0.85,21959,301.58,46.01,24.76,61.59,9.56,175.24,93.84,43.82,46.01,43.82,278,133,147,558,49,25,2,54,0,163,120,229,362,20,46,212,19,18,71,248,109,54,7.09,12.75,26.17,7,13,29,558,411,411,15,6.47,6.87,6.84,45.64,45.64,43.9,52.8,4.41,2.3,8.08,1.71,16.52,37.98,4.35,4.41,4.35,61,10,15,86,8,1,1,3,0,14,45,53,63,10,28,182,56,25,37,53,14,4,1.69,1.68,1.05,5,3,0,86,71,71,30,0.52,0.13,0.13,4.8,4.8,4.77
NYR,2024,NYR,NYR,Team Level,other,82,0.46,0.55,0.52,10364,146.12,34.41,10.77,27.1,5.18,80.06,42.48,30.72,34.41,30.72,117,83,89,289,24,17,2,17,1,80,61,93,176,5,13,118,22,20,42,100,47,53,3.51,6.01,24.88,4,5,15,289,200,200,14,3.15,6.57,6.74,30.82,30.82,28.64,135.54,39.67,8.94,24.73,4.38,65.84,41.45,37.29,39.67,37.29,118,67,54,239,34,12,1,14,0,64,61,84,151,7,17,98,20,15,38,79,48,58,3.08,6.08,30.52,4,4,26,239,185,185,16,2.61,3.7,3.7,38.58,38.58,36.8
NYR,2024,NYR,NYR,Team Level,all,82,0.48,0.5,0.5,296987,2624.71,258.68,174.95,634.64,88.05,1418.11,1030.56,243.8,260.43,245.39,2344,1261,1334,4939,255,267,36,487,8,1138,1450,2089,3350,278,619,2438,2031,405,1239,2665,648,292,74.66,81.4,102.62,107,79,69,4966.61,3605,3627.19,599,38.96,57.98,57.98,239.66,241.13,233.36,2690.37,276.97,181.45,648.04,89.14,1426.93,1034.48,264.11,277.36,264.52,2451,1206,1336,4993,255,284,30,427,5,1115,1571,2196,3402,257,570,2113,1596,387,1313,2610,719,328,74.31,89.48,113.18,87,92,76,4993.91,3657,3657.83,588,40.15,59.81,59.81,257.32,257.66,251.09
NYR,2024,NYR,NYR,Team Level,5on5,82,0.48,0.49,0.49,243801,2047.41,171.35,129.66,519.84,68.44,1102.4,821.31,164.66,173.11,166.24,1831,982,1075,3888,180,204,28,391,7,856,1175,1651,2633,252,564,1893,1928,333,1080,2142,501,170,59.23,63.22,48.91,88,64,28,3915.61,2813,2835.19,538,26.93,41.56,41.58,156.7,158.18,155.42,2159.77,184.6,138.19,542.5,72.01,1151.74,855.95,177.5,184.99,177.92,1966,979,1123,4068,172,218,23,357,4,875,1319,1794,2773,232,517,1672,1515,341,1155,2195,552,198,61.91,68.21,54.48,74,74,24,4068.91,2945,2945.83,524,28.68,44.23,44.51,168.78,169.11,166.56
NYR,2024,NYR,NYR,Team Level,4on5,82,0.14,0.18,0.21,23171,90.47,7.83,4.47,13.92,2.86,28.85,62.06,7.74,7.83,7.74,94,26,12,132,16,5,0,6,0,17,76,78,104,10,20,226,60,29,47,89,22,9,2.56,2.62,2.65,9,5,2,132,120,120,38,1.04,0.84,0.84,8.02,8.02,7.96,344.3,47.49,31.85,73.71,11.23,193.79,101.94,44.2,47.49,44.2,317,143,141,601,42,50,5,55,1,164,148,275,418,13,26,179,19,15,80,289,104,67,7.87,13.29,26.33,5,12,25,601,460,460,11,8.29,10.56,10.3,45.48,45.48,43.25
NYR,2024,NYR,NYR,Team Level,5on4,82,0.9,0.88,0.88,19651,340.71,45.08,30.06,73.77,11.58,206.8,104.71,40.69,45.08,40.69,302,170,158,630,35,41,6,73,0,185,138,267,437,11,22,201,21,23,70,334,78,60,9.36,9.54,26.18,6,5,24,630,472,472,9,7.85,9,8.82,44.11,44.11,41.34,50.77,5.22,2.46,7.09,1.53,15.55,35.14,5.12,5.22,5.12,50,17,18,85,7,4,1,1,0,12,43,43,60,5,10,164,42,16,40,47,15,5,1.47,1.9,1.85,4,2,1,85,67,67,37,0.56,1.31,1.3,4.48,4.48,4.48
FLA,2024,FLA,FLA,Team Level,other,82,0.54,0.58,0.58,12475,206.82,43.75,15.17,39.58,7.4,109.76,67.35,36.52,43.75,36.52,180,103,101,384,32,35,2,26,2,105,83,148,251,9,18,145,41,16,35,145,64,74,5.5,7.69,30.56,5,4,23,384,283,283,17,4.5,10.67,10.77,37.48,37.48,33.98,154.46,37.34,10.28,28.5,5,77.93,49.94,33.74,37.34,33.74,150,59,64,273,37,12,1,16,1,74,69,113,172,6,12,137,34,14,44,117,41,51,4.26,5.11,27.97,3,7,27,273,209,209,16,2.99,3.57,3.57,36.76,36.76,34.1
FLA,2024,FLA,FLA,Team Level,all,82,0.55,0.56,0.55,298400,2849.18,286.31,192.27,704.75,97.18,1554.12,1102.36,266.57,286.96,267.22,2589,1348,1522,5459,246,332,34,601,6,1390,1362,2343,3691,323,721,2383,2446,410,1176,2905,686,346,82.28,84.3,119.73,89,78,79,5496.03,3937,3955.32,517,43.02,74.43,74.43,254.9,255.68,245.64,2366.57,235.73,156.99,575.92,79.54,1273.93,927.89,223.66,235.27,223.27,2148,1102,1086,4336,223,221,22,469,7,1057,1273,1925,3027,311,692,2442,1822,375,1139,2420,565,265,66.91,69.88,98.94,69,79,75,4330.32,3250,3242.9,559,35.24,47.45,47.45,223.53,223.27,215.96
FLA,2024,FLA,FLA,Team Level,5on5,82,0.55,0.56,0.55,241236,2201.18,180.27,139.73,575.01,75.17,1205.09,875.73,172.35,180.92,173,1986,1065,1212,4263,153,242,22,485,1,1088,1082,1833,2898,296,664,1857,2280,346,1046,2373,488,190,65.71,60.68,53.88,76,53,24,4300.03,3051,3069.32,461,28.9,48.27,48.85,160.32,161.1,157.99,1835.55,149.12,115.82,468.85,61.94,991.98,744.31,144.05,148.66,143.66,1653,879,883,3415,139,170,17,389,3,822,1009,1514,2393,277,621,1851,1697,310,984,1956,428,148,53.99,53.13,42,60,58,21,3409.32,2532,2524.9,500,24.02,35.17,35.17,137.97,137.72,135.51
FLA,2024,FLA,FLA,Team Level,4on5,82,0.1,0.15,0.17,22910,62.26,5.21,3.13,10.04,2.21,21.56,45.85,5.08,5.21,5.08,67,21,12,100,10,7,3,7,0,9,55,57,78,5,10,158,84,28,43,68,16,4,2.03,1.92,1.26,3,5,2,100,88,88,34,0.72,1.34,1.34,4.59,4.59,4.54,325.3,44.6,28.72,70.86,10.95,188.63,98.23,41.9,44.6,41.9,285,157,132,574,41,34,4,61,3,147,156,244,401,18,36,237,33,20,73,299,84,59,7.62,10.21,26.78,4,11,26,574,442,442,13,7.72,7.34,7.34,44.99,44.99,42.75
FLA,2024,FLA,FLA,Team Level,5on4,82,0.92,0.91,0.88,21779,378.91,57.08,34.24,80.12,12.41,217.7,113.45,52.63,57.08,52.63,356,159,197,712,51,48,7,83,3,188,142,305,464,13,29,223,41,20,52,319,118,78,9.03,14.01,34.03,5,16,30,712,515,515,5,8.89,14.14,13.45,52.51,52.51,49.14,51.28,4.67,2.18,7.71,1.65,15.39,35.41,3.96,4.67,3.96,60,7,7,74,6,5,0,3,0,14,39,54,61,10,23,217,58,31,38,48,12,7,1.04,1.44,2.19,2,3,1,74,67,67,30,0.5,1.37,1.37,3.8,3.8,3.6
TBL,2024,TBL,TBL,Team Level,other,82,0.56,0.54,0.55,10510,158.3,42.65,11.79,26.54,5.16,83.12,45.73,40.86,42.65,40.86,151,64,85,300,45,10,0,25,0,73,62,106,170,4,8,121,24,7,31,100,55,60,3.87,6.99,31.8,5,6,34,300,215,215,10,3.42,2.79,2.79,43.28,43.28,41.7,128.96,33.24,8.96,22.88,4.56,66.3,42.06,29.94,33.24,29.94,104,74,76,254,27,8,0,13,2,70,58,77,151,3,6,115,29,9,35,86,42,50,3.22,5.45,24.57,3,6,18,254,178,178,12,2.57,2.96,2.96,32.85,32.85,30.19
